Date,AvgNO2,AvgPPM
2013-12-25,2.85,11.68
2013-02-10,35.30,14.22
2013-06-12,25.72,14.28
2013-06-09,19.43,14.35
2013-06-22,22.85,14.38
2013-12-22,22.77,14.43
2013-12-21,18.72,14.90
2013-12-24,35.07,15.28
2013-03-16,43.77,15.67
2013-01-03,49.11,15.76
2013-10-21,26.50,15.80
2013-12-15,18.40,16.51
2013-12-23,15.47,16.53
2013-12-18,23.68,16.65
2013-03-15,36.16,17.04
2013-05-24,23.30,17.33
2013-01-27,23.37,17.54
2013-11-03,35.11,17.62
2013-08-15,26.83,17.68
2013-05-04,27.22,17.76
2013-12-30,44.67,17.92
2013-06-23,21.16,18.60
2013-01-12,28.98,18.78
2013-06-08,29.13,19.05
2013-01-01,36.10,19.09
2013-01-29,48.07,19.14
2013-05-12,19.43,19.23
2013-10-26,29.19,19.29
2013-06-02,42.43,19.51
2013-12-08,42.81,19.81
2013-06-16,25.84,19.86
2013-05-11,25.86,19.90
2013-10-10,39.59,19.90
2013-05-14,40.09,19.94
2013-06-30,19.16,20.10
2013-08-18,19.10,20.35
2013-12-17,41.29,20.49
2013-11-20,44.87,20.57
2013-07-03,41.15,20.59
2013-06-15,25.68,20.90
2013-04-28,30.66,20.98
2013-05-15,47.15,21.19
2013-02-03,46.89,21.20
2013-11-06,41.85,21.25
2013-06-13,34.85,21.26
2013-11-11,49.06,21.26
2013-01-07,44.91,21.39
2013-10-06,29.85,21.70
2013-04-13,40.45,21.88
2013-05-06,34.27,22.10
2013-01-28,36.19,22.13
2013-06-01,57.77,22.20
2013-11-21,27.12,22.32
2013-04-27,57.00,22.37
2013-06-14,34.51,22.73
2013-07-24,22.52,22.74
2013-05-09,22.09,22.82
2013-04-24,55.15,22.88
2013-10-28,48.04,22.89
2013-12-19,46.93,23.15
2013-10-14,47.66,23.19
2013-01-02,66.02,23.32
2013-05-05,30.97,23.56
2013-10-11,7.70,23.60
2013-12-07,57.63,23.63
2013-11-02,33.42,23.90
2013-06-10,40.74,23.96
2013-11-13,33.87,24.13
2013-01-18,32.33,24.16
2013-07-20,17.53,24.48
2013-06-11,35.82,24.53
2013-05-10,35.95,24.54
2013-11-22,36.69,24.61
2013-11-19,53.51,24.61
2013-06-04,33.26,24.69
2013-12-20,33.48,24.83
2013-12-31,31.00,24.86
2013-04-22,48.27,24.95
2013-06-24,50.21,25.03
2013-06-05,37.93,25.08
2013-05-23,54.89,25.11
2013-04-17,24.63,25.60
2013-07-21,19.58,25.65
2013-06-29,42.46,25.66
2013-01-04,58.07,25.70
2013-05-16,52.73,25.80
2013-10-05,41.23,25.86
2013-07-02,33.58,26.00
2013-05-08,33.66,26.08
2013-11-09,46.84,26.52
2013-04-21,35.05,26.54
2013-12-16,52.79,26.55
2013-10-07,42.02,26.68
2013-02-05,44.05,26.82
2013-05-22,67.05,26.83
2013-05-19,48.28,27.02
2013-02-01,82.37,27.30
2013-03-31,29.92,27.37
2013-08-19,32.00,27.46
2013-12-05,50.60,27.61
2013-06-25,60.17,27.63
2013-02-06,68.28,27.78
2013-06-06,41.03,28.10
2013-01-26,57.69,28.13
2013-06-27,63.72,28.16
2013-10-04,50.38,28.41
2013-04-12,67.54,28.48
2013-06-03,45.88,28.58
2013-06-26,57.27,28.68
2013-08-16,28.50,28.93
2013-04-25,55.88,28.97
2013-03-30,38.29,28.98
2013-01-20,51.18,29.02
2013-12-14,38.28,29.12
2013-01-30,36.32,29.25
2013-10-30,35.75,29.27
2013-01-22,54.50,29.29
2013-05-13,33.05,29.41
2013-07-25,30.70,29.57
2013-01-06,48.69,29.60
2013-11-12,62.77,29.85
2013-04-14,15.84,29.99
2013-03-11,25.49,30.21
2013-05-07,47.52,30.25
2013-06-21,57.47,30.30
2013-02-14,71.89,30.36
2013-11-01,51.86,30.40
2013-05-03,56.07,30.40
2013-04-23,57.01,30.42
2013-02-08,86.97,30.51
2013-04-26,68.11,30.58
2013-03-17,63.55,30.63
2013-06-28,44.33,30.79
2013-11-10,36.89,30.85
2013-03-23,35.87,31.07
2013-01-14,75.88,31.11
2013-02-11,61.60,31.18
2013-09-26,33.53,31.40
2013-12-09,67.15,31.84
2013-02-09,79.24,31.98
2013-04-19,72.35,32.10
2013-05-21,70.42,32.22
2013-11-29,54.97,32.25
